#{"t_start": 1747656853.296196, "env_id": "None"}
r,l,t
-192.536039,500,19.504323
-20.882673,73,20.132073
-130.472982,500,23.649302
-153.50948,500,27.214604
-249.79096,500,36.498761
-38.687246,251,38.293997
-117.718344,500,41.942117
-109.073585,500,46.071071
-148.629887,500,50.094499
-106.225427,500,60.268073
-196.144107,500,64.340878
-162.727428,500,68.411001
-138.223001,500,72.513902
-140.823257,500,82.502844
-122.416771,500,86.52027
-125.594007,500,90.607631
-30.763383,112,91.529232
-103.534608,500,95.599553
-89.203516,500,106.576466
-92.553771,500,111.180699
-168.108501,500,115.798224
-195.050448,500,120.391274
-265.384598,500,141.820718
-115.188985,500,146.407218
-143.031924,500,151.023969
-171.437855,500,155.602404
-98.155334,500,166.827623
-131.078969,500,171.441679
-112.747891,500,176.038648
-141.496733,500,180.651809
-72.837862,500,191.917687
-93.394384,500,196.488533
-83.289571,500,201.050807
-73.348222,500,205.619411
-165.9809,500,217.101056
-147.376208,500,221.684667
-95.725381,500,226.280557
-185.025073,500,230.894216
-67.244402,500,242.171449
-122.512406,500,246.702111
-169.261398,500,251.300143
-23.377338,306,254.119482
-135.788447,500,267.562142
-97.113033,500,278.882657
-128.566375,500,283.502803
-110.181505,500,288.083282
-132.98321,500,292.666188
-238.131339,500,304.032543
-113.602556,434,308.032042
-58.58176,500,312.591509
-115.71254,500,317.132835
-85.127646,500,328.446037
-85.46336,500,333.04151
-194.757916,500,337.630791
-62.616194,500,342.189845
-61.015963,500,353.454725
-107.195403,500,357.993144
-156.500411,500,362.569177
-113.498068,500,367.147454
-115.288964,500,378.512724
-87.486165,500,383.072655
-96.609281,500,387.675888
-222.284071,500,400.783452
-75.409555,500,405.402215
-111.17006,500,416.700489
-120.902507,500,421.299262
-168.401199,500,425.891884
-126.375582,500,430.505903
-99.471565,500,441.991
-58.119285,500,446.596599
-54.727831,214,448.525826
-142.472723,500,453.130311
-145.527261,500,464.52806
-120.54251,500,469.077185
-125.429009,500,473.648124
-139.561469,500,478.249058
-110.315991,500,489.46671
-137.056235,500,494.052093
-74.404535,500,498.653862
-85.64755,500,503.264399
-164.753203,500,507.844771
-16.803974,94,515.537878
-108.301077,500,520.104385
-130.46709,500,524.724858
-34.564332,500,537.903118
-114.288908,500,549.88224
-54.664802,500,554.68616
-269.791729,500,559.498491
-71.669866,500,564.268764
-103.875535,500,569.032439
-138.650923,500,581.229901
-117.903031,500,585.938499
-127.557484,500,590.500114
-55.43962,500,595.073524
-198.485098,500,606.324006
-235.27695,500,610.924745
-26.178699,500,615.483501
-73.63791,500,620.092103
-134.704988,500,634.639427
-75.551235,500,639.236475
-37.560983,500,643.842433
-49.559211,500,648.423846
-58.937559,500,659.705904
-200.967082,500,664.298648
-92.697657,500,677.664432
-82.250013,500,682.265218
-51.07022,500,693.552085
-105.833453,500,698.147507
-154.318236,500,702.734286
-111.91479,500,707.306273
-92.187648,500,718.648621
