#{"t_start": 1747667121.6980054, "env_id": "None"}
r,l,t
-76.54537,95,33.947449
-78.067044,94,34.634253
-438.455791,500,38.420687
-349.763869,500,42.532286
-696.636407,500,46.692921
-403.388342,500,56.497863
-472.474508,500,60.863901
-457.70303,500,65.137595
-42.613472,50,65.575052
-33.664192,46,65.970396
-461.545366,500,70.235155
-57.856245,76,70.914504
-560.522554,500,88.67711
-333.170091,459,92.737403
-72.861031,77,93.421987
-392.526962,500,97.758118
-632.7278,500,101.983006
-501.091446,500,111.889713
-415.028671,500,116.232977
-424.713767,500,120.597138
-75.065985,101,121.584572
-468.777777,500,125.926348
-662.836692,500,145.221849
-495.99304,500,149.936136
-345.675963,500,154.622447
-354.980918,500,159.265408
-251.166588,291,186.525149
-335.543409,370,189.983794
-446.751448,500,194.742383
-523.404276,500,199.547149
-383.777437,500,204.275656
-403.069781,500,216.157982
-433.229575,500,220.963796
-465.534001,500,225.720489
-585.582649,500,230.485607
-362.911401,500,251.730525
-463.165115,500,256.559505
-386.398819,500,261.574796
-544.443099,500,266.383464
-636.041799,500,286.885594
-394.390944,500,291.545648
-21.347509,23,291.827678
-433.966587,500,296.472375
-479.535804,500,301.150292
-412.857885,500,312.209235
-189.62197,287,314.840928
-477.059078,500,319.500209
-441.231672,500,324.128235
-804.736573,500,337.612913
-479.764369,500,348.314684
-466.051346,500,352.956253
-429.523991,500,357.636089
-434.942269,500,362.296128
-406.98372,500,373.355343
-542.50199,500,378.023069
-255.670809,311,380.982498
-367.929413,500,385.637081
-485.041013,500,406.114493
-415.042918,500,410.745167
-457.565207,500,415.394782
-468.75367,500,420.014766
-506.807375,500,431.109652
-518.541235,500,435.75439
-433.893575,500,440.359089
-457.649179,500,445.034215
-340.883185,500,456.067464
-386.107153,500,460.721435
-589.336832,500,465.355273
-385.027386,500,479.353597
-548.655198,500,489.792705
-329.383211,500,494.49967
-350.910173,500,499.135206
-410.46294,500,503.828504
-580.424374,500,524.171093
-477.289779,500,528.850392
-403.276166,500,533.532573
-520.876609,500,538.140687
-422.877555,500,542.814135
-699.363986,500,563.282921
-575.417481,500,567.945768
-674.346463,500,572.573981
-409.598741,500,577.18599
-391.802084,500,588.204248
-579.406119,500,592.854867
-401.945753,500,597.501878
-386.756625,500,602.15424
-522.753483,500,613.166164
-542.475907,500,617.790529
-764.204529,500,631.737214
-392.687952,500,635.886043
-302.048142,500,656.318756
-385.585386,500,660.969122
-389.705523,500,665.631113
-436.527721,500,670.28039
-360.728163,500,690.74753
-597.466927,500,695.366938
-479.362893,500,700.048902
-640.170644,500,704.703181
-494.651326,500,725.153129
-459.910235,500,729.791379
-308.918531,500,734.36885
-405.98728,500,739.025595
-467.258549,500,750.032379
-444.313818,500,754.656701
-321.012864,500,759.272019
-547.370905,500,763.950753
-409.284515,500,774.940253
-364.352992,500,779.587418
-407.012404,500,792.79627
-469.736406,500,796.933793
-383.484446,500,807.921607
-545.885864,500,812.580168
-363.295244,500,817.220167
-380.092598,500,821.857979
-318.89888,500,832.930674
-324.583011,500,837.517528
-468.819079,500,842.175863
-498.131304,500,846.822485
-342.213336,500,851.448009
-480.052293,500,871.943664
-614.178323,500,876.571322
-385.261915,500,881.225018
-693.422261,500,885.844856
-339.057025,500,906.3263
-312.331935,500,910.960845
-306.696875,500,915.594388
-460.766492,500,920.23525
-728.979931,500,931.211502
-524.733349,500,944.538957
-332.78655,500,948.79377
-420.797472,500,953.437069
-409.528919,500,973.989929
-611.615469,500,978.589531
-313.736923,500,983.221106
-359.84322,500,987.876516
-606.569699,500,1008.492006
-334.19054,500,1013.114151
-333.690833,500,1017.753422
-356.236494,500,1022.394132
-405.80314,500,1042.839972
-618.01143,500,1047.478609
-265.415603,500,1052.108109
-297.397427,500,1056.739512
-287.541328,500,1067.760363
-373.978838,500,1072.431251
-294.419416,500,1077.03354
-474.178464,500,1081.690779
-518.094937,500,1092.714871
-437.891724,500,1106.137633
-362.652829,500,1110.313672
