#{"t_start": 1747667121.6969285, "env_id": "None"}
r,l,t
-124.365427,165,34.454431
-534.153559,500,38.206542
-370.7486,500,42.33156
-573.833951,500,46.487724
-179.775489,243,48.523196
-632.83715,500,58.413299
-75.048685,73,59.067297
-483.755905,500,63.322293
-395.748251,500,67.606137
-557.813295,500,71.953017
-504.315407,500,89.80196
-144.022288,186,91.511537
-157.224455,213,93.263222
-419.048555,500,97.603554
-456.068258,500,101.820439
-510.521579,500,111.728393
-86.711191,96,112.637864
-547.007243,500,116.962285
-416.5859,500,121.367615
-474.000697,500,125.730038
-519.717613,500,145.01776
-374.165016,500,149.723069
-474.527704,500,154.421107
-376.047724,500,159.058793
-450.902681,500,188.279134
-443.359192,500,193.000125
-511.897216,500,197.803784
-333.010536,500,202.515344
-596.520494,500,214.370162
-547.964033,500,219.146593
-63.830854,77,219.908858
-464.417075,500,224.708768
-456.796879,500,229.450928
-553.461932,500,250.425236
-579.987585,500,255.423713
-320.395818,500,260.415109
-317.356786,500,265.393424
-653.352906,500,285.926431
-437.609732,500,290.569607
-505.474945,500,295.249448
-395.175672,500,299.93035
-428.537833,500,310.953756
-529.621486,500,315.651807
-365.502831,500,320.282803
-517.895684,500,334.125268
-548.388248,500,344.453586
-401.025095,500,349.09931
-499.812933,500,353.745989
-410.858876,500,358.427182
-461.252664,500,369.449065
-425.783999,500,374.138486
-505.858981,500,378.806168
-157.923787,219,380.884746
-511.918989,500,385.543928
-409.844739,500,406.019622
-617.606786,500,410.650582
-550.244601,500,415.294707
-355.789892,500,419.923025
-661.28925,500,431.014258
-807.754193,500,435.658167
-415.979537,500,440.25908
-513.462061,500,444.927187
-390.065657,500,455.96934
-499.5489,500,460.61489
-392.428622,500,465.261914
-396.321375,500,479.274159
-380.319638,500,489.694683
-484.45465,500,494.3955
-660.978461,500,499.043567
-399.569393,500,503.741204
-734.109746,500,524.080616
-325.193217,500,528.745815
-525.042984,500,533.422801
-320.513908,500,538.041488
-335.697275,500,542.710021
-525.050995,500,563.185197
-584.872283,500,567.854812
-373.071344,500,572.47406
-532.872741,500,577.089944
-420.828087,500,588.11291
-109.358205,175,589.731627
-379.045542,500,594.394241
-712.007641,500,599.033456
-504.968155,500,610.037376
-684.359523,500,614.681462
-547.628611,500,619.313063
-431.006519,500,633.082466
-337.130401,500,637.383459
-517.647709,500,657.852237
-339.543425,500,662.507998
-313.006084,500,667.177668
-417.091757,500,671.782482
-364.620732,500,692.280273
-529.410201,500,696.932986
-436.048404,500,701.58858
-732.518644,500,706.231653
-359.421005,500,726.665999
-345.691408,500,731.303305
-521.73947,500,735.890863
-481.106342,500,740.520777
-458.390538,500,751.541324
-334.439527,500,756.150957
-565.341036,500,760.763958
-519.008779,500,765.447316
-346.853156,500,776.440491
-408.392721,500,781.074208
-604.432802,500,794.109059
-460.950108,500,798.460356
-366.773536,500,809.464269
-372.928667,500,814.106426
-402.993489,500,818.755474
-564.700389,500,823.36281
-405.572069,500,834.432168
-373.028415,500,839.036405
-449.681151,500,843.688924
-402.425388,500,848.349023
-446.93467,500,868.828004
-315.11721,500,873.471026
-379.401517,500,878.09557
-472.016038,500,882.75438
-327.032298,500,903.18612
-317.046808,500,907.846275
-651.977722,500,912.498434
-550.767652,500,917.110192
-791.241333,500,928.116122
